SKU,Товарная группа,Дата продажи,Объём продажи
Theta Stand,Theta,2023-11-15,131
Lambda Mount,Lambda,2023-11-15,50
Kappa Hub,Kappa,2023-11-15,158
Nova Keyboard,Nova,2023-11-15,155
Vega Panel,Vega,2023-11-15,55
Alpha Lamp,Alpha,2023-12-15,135
Beta Speaker,Beta,2023-12-15,136
Gamma Cable,Gamma,2023-12-15,29
Delta Plug,Delta,2023-12-15,157
Epsilon Dock,Epsilon,2023-12-15,106
Zeta Charger,Zeta,2023-12-15,17
Sigma Case,Sigma,2023-12-15,126
Theta Stand,Theta,2023-12-15,132
Lambda Mount,Lambda,2023-12-15,60
Kappa Hub,Kappa,2023-12-15,115
Nova Keyboard,Nova,2023-12-15,173
Vega Panel,Vega,2023-12-15,30
Alpha Lamp,Alpha,2024-01-15,131
Beta Speaker,Beta,2024-01-15,175
Gamma Cable,Gamma,2024-01-15,26
Delta Plug,Delta,2024-01-15,133
Epsilon Dock,Epsilon,2024-01-15,63
Zeta Charger,Zeta,2024-01-15,32
Sigma Case,Sigma,2024-01-15,135
Theta Stand,Theta,2024-01-15,115
Lambda Mount,Lambda,2024-01-15,68
Kappa Hub,Kappa,2024-01-15,117
Nova Keyboard,Nova,2024-01-15,191
Vega Panel,Vega,2024-01-15,23
Alpha Lamp,Alpha,2024-02-15,142
Beta Speaker,Beta,2024-02-15,163
Gamma Cable,Gamma,2024-02-15,25
Delta Plug,Delta,2024-02-15,138
Epsilon Dock,Epsilon,2024-02-15,37
Zeta Charger,Zeta,2024-02-15,42
Sigma Case,Sigma,2024-02-15,137
Theta Stand,Theta,2024-02-15,110
Lambda Mount,Lambda,2024-02-15,69
Kappa Hub,Kappa,2024-02-15,153
Nova Keyboard,Nova,2024-02-15,170
Vega Panel,Vega,2024-02-15,20
Alpha Lamp,Alpha,2024-03-15,151
Beta Speaker,Beta,2024-03-15,152
Gamma Cable,Gamma,2024-03-15,17
Delta Plug,Delta,2024-03-15,123
Epsilon Dock,Epsilon,2024-03-15,79
Zeta Charger,Zeta,2024-03-15,53
Sigma Case,Sigma,2024-03-15,99
Theta Stand,Theta,2024-03-15,97
Lambda Mount,Lambda,2024-03-15,61
Kappa Hub,Kappa,2024-03-15,202
Nova Keyboard,Nova,2024-03-15,143
Vega Panel,Vega,2024-03-15,35
Alpha Lamp,Alpha,2024-04-15,141
Beta Speaker,Beta,2024-04-15,160
Gamma Cable,Gamma,2024-04-15,19
Delta Plug,Delta,2024-04-15,147
Epsilon Dock,Epsilon,2024-04-15,110
Zeta Charger,Zeta,2024-04-15,35
Sigma Case,Sigma,2024-04-15,110
Theta Stand,Theta,2024-04-15,114
Lambda Mount,Lambda,2024-04-15,45
Kappa Hub,Kappa,2024-04-15,211
Nova Keyboard,Nova,2024-04-15,133
Vega Panel,Vega,2024-04-15,49
Alpha Lamp,Alpha,2024-05-15,102
Beta Speaker,Beta,2024-05-15,135
Gamma Cable,Gamma,2024-05-15,25
Delta Plug,Delta,2024-05-15,156
Epsilon Dock,Epsilon,2024-05-15,134
Zeta Charger,Zeta,2024-05-15,32
Sigma Case,Sigma,2024-05-15,123
Theta Stand,Theta,2024-05-15,132
Lambda Mount,Lambda,2024-05-15,61
Kappa Hub,Kappa,2024-05-15,160
Nova Keyboard,Nova,2024-05-15,170
Vega Panel,Vega,2024-05-15,40
Alpha Lamp,Alpha,2024-06-15,118
Beta Speaker,Beta,2024-06-15,158
Gamma Cable,Gamma,2024-06-15,30
Delta Plug,Delta,2024-06-15,149
Epsilon Dock,Epsilon,2024-06-15,99
Zeta Charger,Zeta,2024-06-15,20
Sigma Case,Sigma,2024-06-15,154
Theta Stand,Theta,2024-06-15,140
Lambda Mount,Lambda,2024-06-15,57
Kappa Hub,Kappa,2024-06-15,138
Nova Keyboard,Nova,2024-06-15,214
Vega Panel,Vega,2024-06-15,39
Alpha Lamp,Alpha,2024-07-15,130
Beta Speaker,Beta,2024-07-15,195
Gamma Cable,Gamma,2024-07-15,25
Delta Plug,Delta,2024-07-15,142
Epsilon Dock,Epsilon,2024-07-15,58
Zeta Charger,Zeta,2024-07-15,40
Sigma Case,Sigma,2024-07-15,145
Theta Stand,Theta,2024-07-15,122
Lambda Mount,Lambda,2024-07-15,79
Kappa Hub,Kappa,2024-07-15,145
Nova Keyboard,Nova,2024-07-15,212
Vega Panel,Vega,2024-07-15,17
Alpha Lamp,Alpha,2024-08-15,135
Beta Speaker,Beta,2024-08-15,212
Gamma Cable,Gamma,2024-08-15,17
Delta Plug,Delta,2024-08-15,126
Epsilon Dock,Epsilon,2024-08-15,75
Zeta Charger,Zeta,2024-08-15,62
Sigma Case,Sigma,2024-08-15,142
Theta Stand,Theta,2024-08-15,98
Lambda Mount,Lambda,2024-08-15,70
Kappa Hub,Kappa,2024-08-15,201
Nova Keyboard,Nova,2024-08-15,187
Vega Panel,Vega,2024-08-15,18
Alpha Lamp,Alpha,2024-09-15,131
Beta Speaker,Beta,2024-09-15,171
Gamma Cable,Gamma,2024-09-15,17
Delta Plug,Delta,2024-09-15,129
Epsilon Dock,Epsilon,2024-09-15,93
Zeta Charger,Zeta,2024-09-15,55
Sigma Case,Sigma,2024-09-15,119
Theta Stand,Theta,2024-09-15,102
Lambda Mount,Lambda,2024-09-15,73
Kappa Hub,Kappa,2024-09-15,231
Nova Keyboard,Nova,2024-09-15,174
Vega Panel,Vega,2024-09-15,38
Alpha Lamp,Alpha,2024-10-15,125
Beta Speaker,Beta,2024-10-15,167
Gamma Cable,Gamma,2024-10-15,12
Delta Plug,Delta,2024-10-15,153
Epsilon Dock,Epsilon,2024-10-15,129
Zeta Charger,Zeta,2024-10-15,35
Sigma Case,Sigma,2024-10-15,116
Theta Stand,Theta,2024-10-15,128
Lambda Mount,Lambda,2024-10-15,53
Kappa Hub,Kappa,2024-10-15,207
Nova Keyboard,Nova,2024-10-15,169
Vega Panel,Vega,2024-10-15,44
Alpha Lamp,Alpha,2024-11-15,97
Beta Speaker,Beta,2024-11-15,174
Gamma Cable,Gamma,2024-11-15,20
Delta Plug,Delta,2024-11-15,156
Epsilon Dock,Epsilon,2024-11-15,124
Zeta Charger,Zeta,2024-11-15,39
Sigma Case,Sigma,2024-11-15,137
Theta Stand,Theta,2024-11-15,159
Lambda Mount,Lambda,2024-11-15,66
Kappa Hub,Kappa,2024-11-15,195
Nova Keyboard,Nova,2024-11-15,192
Vega Panel,Vega,2024-11-15,37
Alpha Lamp,Alpha,2024-12-15,105
Beta Speaker,Beta,2024-12-15,190
Gamma Cable,Gamma,2024-12-15,25
Delta Plug,Delta,2024-12-15,148
Epsilon Dock,Epsilon,2024-12-15,82
Zeta Charger,Zeta,2024-12-15,30
Sigma Case,Sigma,2024-12-15,171
Theta Stand,Theta,2024-12-15,149
Lambda Mount,Lambda,2024-12-15,70
Kappa Hub,Kappa,2024-12-15,167
Nova Keyboard,Nova,2024-12-15,246
Vega Panel,Vega,2024-12-15,34
